date,strategy,sp500,sixty40
2021-07-08,2.3950798735515,1.4603728701613432,1.356255774845355
2021-07-09,2.40979070652807,1.4759621099339542,1.3631662150135655
2021-07-12,2.422595008187007,1.481248895595791,1.3657659202170618
2021-07-13,2.4095264668964385,1.4761993374955573,1.361791037112804
2021-07-14,2.4278487930617447,1.4784021648547463,1.364851833845694
2021-07-15,2.4181572362380876,1.4733526067545126,1.3632339388120485
2021-07-16,2.385922702241614,1.4617962355320455,1.356348270704881
2021-07-19,2.3691769933508167,1.4402085274124266,1.3471854649320874
2021-07-20,2.405799996789088,1.4608473252849106,1.358260143163841
2021-07-21,2.4218493090109163,1.4726748137209993,1.363084615950623
2021-07-22,2.4504126001116573,1.4757587720236476,1.3660661539052192
2021-07-23,2.4857833143698866,1.4909413359760064,1.3741226774992739
2021-07-26,2.487994017552354,1.4946014183575558,1.3756736822899092
2021-07-27,2.466348487220147,1.487789598370043,1.3731913927344324
2021-07-28,2.4749798901784654,1.4871795846398448,1.3733727415670254
2021-07-29,2.4792108834294386,1.493347501245141,1.375894279521178
2021-07-30,2.464665694486895,1.4860951157860791,1.37264224843673
2021-09-01,2.4665095671990183,1.4868849617151239,1.3732568848461086
2021-09-02,2.4698273715542096,1.4914594860552994,1.376360435095527
2021-09-03,2.47314351266745,1.491097473337631,1.375211184707134
2021-09-07,2.470218971419669,1.4857660133154393,1.3707889647330982
2021-09-08,2.46446806426462,1.483955949727797,1.3706886491445895
2021-09-09,2.454876792074723,1.4776042720470077,1.36892141847752
2021-09-10,2.4358286736805494,1.4659540445914063,1.3613606693177183
2021-09-13,2.4381978320018893,1.4697058127551577,1.3641560628680267
2021-09-14,2.428004443162925,1.4617744432159283,1.3609618307182734
2021-09-15,2.447166655081248,1.4739841448717224,1.3672674359241812
2021-09-16,2.4459314168701916,1.471647517330916,1.3650253995622652
2021-09-17,2.4196210923310595,1.457358273111814,1.3566021936120327
2021-09-20,2.3745991745075052,1.4330579629848346,1.3440603259999397
2021-09-21,2.3748094929536627,1.4317042772302548,1.3435301104478927
2021-09-22,2.397459102000532,1.44567035220851,1.3515787705479156
2021-09-23,2.4231624427858782,1.4632352502892685,1.3587793461090443
2021-09-24,2.4262825851621974,1.4656454712667302,1.3591819933075704
2021-09-27,2.413298442817317,1.4614523471008307,1.3560951430740449
2021-09-28,2.3551307697545223,1.432001427761953,1.3374392968624562
2021-09-29,2.355274932412061,1.4344116487390643,1.3391628369946371
2021-09-30,2.3361705909423103,1.4168797673839337,1.329248925951112
2021-10-01,2.3742107832169363,1.433718297499136,1.3403463697894167
2021-10-01,2.4128316984547187,1.4507569406394287,1.3515364623839776
2021-10-04,2.34463337949553,1.4320478422891785,1.3407026576503165
2021-10-05,2.376491598828317,1.446948302760952,1.3478126946721212
2021-10-06,2.40307323432804,1.452961941516516,1.3514087861576296
2021-10-07,2.4225790740794126,1.4655237646944197,1.3569109723483044
2021-10-08,2.400081514435583,1.462851036358771,1.354239865589434
2021-10-11,2.370014674391574,1.4522603503281424,1.3475029099147435
2021-10-12,2.3794385433763487,1.4486855761791235,1.347499428322848
2021-10-13,2.413862549865085,1.4538973964339932,1.3516334236936034
2021-10-14,2.4826901464096216,1.4783528607058884,1.3663122477072631
2021-10-15,2.5004846719859795,1.4896117288200748,1.3712231927019614
2021-10-18,2.534288165614642,1.4940217305742498,1.3732759100941467
2021-10-19,2.5454284670852463,1.505547871522001,1.3780493702165915
2021-10-20,2.5389816665052596,1.5114612829648897,1.3809106692226265
2021-10-21,2.5557445030269776,1.515403557260149,1.3819096716730477
2021-10-22,2.5480895167308253,1.5138333293628667,1.3821187655644034
2021-10-25,2.578300905542696,1.5219517416828428,1.387099164965174
2021-10-26,2.5980135665884054,1.523321514954774,1.3888687588430737
2021-10-27,2.621336587342776,1.5165728759070836,1.3870226408069664
2021-10-28,2.6582287360841965,1.5312060635452922,1.3946174403015397
2021-10-29,2.677650187872368,1.5343131102353953,1.3961694289438253
2021-12-01,2.6607980141907928,1.517271174293321,1.3869709070302172
2021-12-02,2.672359080782152,1.5405101778504997,1.3996200808208898
2021-12-03,2.6632482260329726,1.527105651161127,1.394559938130912
2021-12-06,2.656894444687792,1.5451916582775744,1.4025305963031678
2021-12-07,2.6884177282644037,1.577153708097766,1.4190566398829825
2021-12-08,2.672476283492108,1.5813299927949018,1.4198238763491455
2021-12-09,2.659013874891831,1.5706535230446979,1.4141219824876645
2021-12-10,2.6710128365613395,1.5854389180616173,1.4222577050825722
2021-12-13,2.669643102681161,1.571394476781465,1.4166904862712364
2021-12-14,2.6521189372559806,1.5605832881697057,1.4097548155049544
2021-12-15,2.6714921699508656,1.584967402047603,1.4225276765381267
2021-12-16,2.6360349371780503,1.5709903201975137,1.4157800800352378
2021-12-17,2.6433751449454843,1.5543305985046887,1.407465093999704
2021-12-20,2.620493482317953,1.5378027175238584,1.3976495022528692
2021-12-21,2.64633737575639,1.5651125903918415,1.412101946463527
2021-12-22,2.668980854398973,1.5807616883351767,1.421067893776456
2021-12-23,2.6683964289499373,1.5905972984892027,1.4256770916002302
2021-12-27,2.6944874893984827,1.6131076639969923,1.4380825428795865
2021-12-28,2.6828173423636437,1.6117894894403926,1.4371257316681347
2021-12-29,2.6685713013246306,1.6138512496446533,1.4365174191574486
2021-12-30,2.6750404648711337,1.609389735760117,1.435396197508217
